Soil Moisture,temperature,Humidity,ph,rainfall,N,P,K
54,22,55.04,6.502985292,202.9355362,90,42,43
12,20,55.17,7.038096361,226.6555374,85,58,41
34,26,55.3,7.840207144,263.9642476,60,55,44
7,44,54.2,6.980400905,242.8640342,74,35,40
50,38,53.09,7.628472891,262.7173405,78,42,42
4,26,51.91,7.073453503,251.0549998,69,37,42
15,34,50.72,5.70080568,271.3248604,69,55,38
45,30,49.54,5.718627178,241.9741949,94,53,40
47,4,47.7,6.685346424,230.4462359,89,54,38
19,41,45.86,6.336253525,221.2091958,68,58,38
63,44,44.76,5.386167788,264.6148697,91,53,40
88,34,43.67,7.50283396,250.0832336,90,46,42
39,20,42.56,5.108681786,284.4364567,78,58,44
65,43,41.44,6.98435366,185.2773389,93,56,36
50,27,41.58,6.94801983,209.5869708,94,50,37
39,22,41.71,7.042299069,231.0863347,60,48,39
18,33,40.34,6.249050656,276.6552459,85,38,41
66,43,38.96,6.970859754,206.2611855,91,35,39
68,25,37.33,5.953933276,224.5550169,77,38,36
20,36,35.69,5.85393208,291.2986618,88,35,40
40,17,34.06,6.442475375,185.4974732,89,45,36
2,34,32.42,5.070175667,231.3843163,76,40,43
22,35,31.07,6.012632591,213.3560921,67,59,41
1,19,29.72,6.254028451,233.1075816,83,41,43
5,23,28.38,7.375482851,224.0581164,98,47,37
10,28,27.03,7.778915154,257.0038865,66,53,41
25,13,26.62,6.286500176,271.3586137,97,59,43
20,45,26.22,7.070959995,260.2634026,97,50,41
40,29,25.72,6.244841491,240.0810647,60,49,44
26,13,25.21,6.043304899,197.9791215,84,51,35
71,6,25.8,5.824709117,272.2017204,73,57,41
37,21,26.39,6.357389366,200.0882787,92,35,40
76,12,25.53,6.364134968,224.6757231,85,37,39
44,24,24.67,5.01450727,270.4417274,98,53,38
24,8,24.32,6.149410611,233.1321372,88,54,44
70,6,23.96,5.950660556,193.3473987,95,55,42
32,23,23.81,5.960370061,272.2999056,99,57,35
44,24,23.66,5.561398642,285.2493645,95,39,36
4,45,23.5,7.416245107,298.4018471,60,43,44
63,40,23.35,5.583370042,257.0343554,63,44,41
49,29,23.09,6.430010215,248.7183228,62,42,36
26,32,22.84,5.534878156,209.9001977,64,45,43
58,32,22.58,6.903985986,200.834898,83,60,36
45,0,22.32,6.271478838,298.5601175,82,40,40
37,7,22.58,7.224285503,265.5355937,85,52,45
16,44,22.83,6.13428721,183.6793207,91,35,38
75,2,23.4,5.206373153,196.9560008,76,49,42
82,16,23.97,7.782051313,233.0453455,74,39,38
72,28,24.54,7.062779015,210.8142087,79,43,39
53,1,25.11,7.730367824,253.7202781,88,55,45
13,24,26.29,5.286203711,219.9048349,60,36,43
41,18,27.47,6.766240045,208.5810155,76,60,39
53,2,27.99,7.382762603,195.0948311,93,56,42
76,14,28.51,5.658169482,227.3637009,65,60,43
9,36,28.64,5.543360238,286.5083725,95,52,36
66,1,28.77,6.215109715,283.9338466,75,38,39
12,16,29.56,7.120272972,217.3788583,74,54,38
29,10,30.36,5.950647577,267.9761948,91,36,45
37,34,31.01,7.236705436,191.9535738,71,46,40
8,28,31.66,6.501697816,277.9626192,99,55,35
55,1,31.96,7.592490617,245.1511304,72,40,38
9,1,32.25,5.875345751,245.6626799,83,58,45
41,27,31.86,6.932400225,279.5451717,93,58,38
31,8,31.47,6.946209881,202.3838319,70,36,42
80,38,30.63,5.739175027,263.6372176,76,47,42
7,27,29.79,6.738652179,182.5616319,99,41,36
13,4,29.64,5.594819626,198.6730942,99,54,37
42,18,29.5,6.946636369,243.5120414,86,59,35
72,21,29.16,5.012139669,263.1103304,69,46,41
21,33,28.81,6.363472208,269.5039162,91,56,37
14,4,28.47,6.880431223,204.8001847,61,52,41
16,19,28.2,7.300410836,260.8875056,67,45,38
11,9,27.92,6.587918708,295.6094492,79,42,37
7,17,27.65,7.283736617,192.3197536,78,43,42
56,3,27.38,7.023936392,257.4914906,75,54,36
42,19,27.66,6.939083505,278.0791793,97,36,45
78,41,27.93,7.868474653,280.4044392,67,47,44
16,37,28.11,5.005306977,185.9461429,73,35,38
87,14,28.29,6.136131869,194.5766559,77,36,37
22,22,27.32,7.524080076,200.9133156,81,41,38
77,41,26.36,5.706943251,182.9043504,68,57,43
45,31,25.4,5.758506323,195.3574542,72,45,35
84,39,24.45,6.349606327,223.3671883,61,53,43
12,3,23.14,5.999969026,186.7536773,67,43,39
17,40,21.83,5.453592032,220.1156708,67,58,39
12,35,21.06,6.372576327,231.7364957,66,60,38
6,40,20.29,5.105588355,242.3170629,82,43,38
21,4,20.58,5.935344406,182.6549356,84,50,44
71,41,20.88,5.17782304,233.7034975,81,53,42
17,27,21.33,6.462391607,230.2242223,91,50,40
67,24,21.78,7.069172227,290.6793783,93,53,38
34,24,22.22,7.473134377,241.2013513,90,44,38
68,13,22.67,6.158376967,218.9163567,81,45,35
52,3,22.7,7.549873681,248.2256491,78,40,38
80,18,22.74,6.028321558,256.9964761,60,51,36
11,11,22.42,6.604993475,194.2651719,88,46,42
63,27,22.11,6.500343222,295.9248796,93,47,37
88,43,22.04,5.935745417,287.5766935,60,55,45
79,21,21.97,7.072655622,183.6222657,78,35,44
2,37,21.44,5.333322606,188.413665,65,37,40
49,33,20.9,5.749914421,87.75953857,71,54,16
64,27,20.58,6.931756558,102.2662445,61,44,17
71,36,20.27,6.657964753,66.71995467,80,43,16
51,27,19.5,6.596060648,60.65171481,73,58,21
67,26,18.73,5.970458434,65.43835393,61,38,20
12,0,17.96,6.158830619,102.0861694,68,41,16
67,3,17.2,6.047906679,105.4654703,93,41,17
54,31,16.43,5.913664501,78.06639649,89,60,19
49,33,15.66,5.855442401,65.27798457,76,44,17
24,29,14.2,5.750254943,109.2162279,67,60,25
27,18,12.75,5.852607099,94.29712821,70,44,19
50,35,12.24,6.472523287,74.05474936,90,49,21
51,26,11.74,6.967057762,63.87020584,62,52,16
38,26,11.29,6.082973754,94.76189431,92,44,16
23,45,10.84,5.919045532,72.12375573,66,54,21
27,29,10.43,6.204747653,63.72358154,63,58,22
72,39,10.02,6.600827017,104.1626147,70,47,17
89,19,9.84,6.021902237,76.68456006,61,41,17
36,28,9.65,6.033550195,65.49730729,66,53,19
4,5,9.33,6.28886807,84.23613484,74,55,19
21,37,9.01,6.550563823,79.74078719,77,57,21
8,37,8.7,5.573286437,88.07753741,99,50,15
5,27,8.38,6.829199275,80.97573281,74,56,22
1,10,8.06,5.716222912,79.7532896,83,45,21
2,40,7.74,5.54990242,74.51490791,100,48,16
63,35,7.15,6.586244581,96.46380213,79,51,16
17,39,6.56,5.893093135,102.8301942,94,39,18
33,19,6.36,5.918263801,102.4852929,75,49,15
21,6,6.17,5.588650585,70.43473609,78,48,22
84,29,5.97,6.576418207,108.8303762,87,54,20
35,28,5.77,6.178056304,65.88951188,87,35,25
81,4,5.66,6.641906353,90.988051,63,43,19
44,41,5.56,6.489040367,64.40866039,84,57,25
53,6,5.48,5.680361038,63.03843397,64,35,23
25,18,5.41,6.625404348,87.9298085,60,46,22
22,28,5.28,6.524478032,107.4931917,98,44,21
57,44,5.14,5.696205468,60.95197486,75,56,18
15,25,5.13,6.803931519,109.7515385,86,55,21
33,23,5.12,6.252797548,91.76337172,98,35,18
20,25,4.88,6.092725883,94.26249353,76,57,18
52,13,4.64,6.234330356,71.07562236,99,56,17
